,countryname,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
82,Costa Rica,83,67.62287677066033,62.01397490755961,77.33199980872017,56.40268881248568,51.61626920719171,63.6169868533971,71.45187430674187,42.845434015918066,26.462905959631012,41.77855792138321,66.97883741678386,51.190244127593786,53.99867505604813,45.269999908112716,57.157396956655724,65.24472386047688,27.029424682025773,55.63649707009134,UMI,lat_cab
83,Colombia,84,67.57476533243714,60.27912903243293,72.53194040216658,52.17268124602875,50.95215661742678,54.44313825325079,69.42033357197258,42.46476100175368,21.13656793498049,35.97778567960979,63.394516848656195,50.57483602694116,54.16107258520776,23.579924278513726,54.48596647005781,56.28412079073242,28.549030551307748,50.93020246903109,UMI,lat_cab
84,El Salvador,85,67.33235083418973,56.989345639756245,70.56532943690011,53.67589974071814,51.69889523025057,53.857105858662884,63.36639877879353,45.53745201219028,19.11241744357373,39.652606320284896,61.12644402446033,50.954660306967924,54.67481031266722,25.94236474770306,55.59643304882551,49.14551865542574,20.07440698048865,49.78384955053707,LMI,lat_cab
85,Gabon,86,67.11471894194503,57.81722893384303,43.80331804588191,52.411059301376184,66.13247267566393,41.08272542039639,62.74911083668751,34.747514891763025,12.521078037550907,48.13561871439071,56.66924835144153,50.167638941652335,55.49992409043175,52.30772701218719,83.51664410107658,58.51805154681062,31.39813482504834,49.49748562108784,UMI,mid_af
86,Panama,87,66.90846879759914,55.326966481811645,72.74410522407447,54.011746112018464,50.67565112157016,54.32307825288101,70.7808274257805,47.55903588052411,28.1223384158441,41.05859257745964,67.3153876327651,57.91076094431393,51.78470703862563,50.605137519248714,57.91681397220376,59.43249922631442,24.33289619365947,54.0826953694984,UMI,lat_cab
87,Iraq,88,66.87214293472877,47.813844950690935,57.573669138448594,49.00215207775212,51.720368389882836,54.163953973214156,72.42455591115774,34.8010277872238,13.908375726478692,55.53639015165184,49.33802001083405,54.29726749558723,52.36834823029824,42.105284730676885,56.78030526618462,61.689674931972476,38.725955067318004,49.2622897479792,UMI,west_as
88,Nepal,89,66.84881395274945,57.5310610516238,59.554419100673364,52.347462262535004,54.28293765839629,41.56239587478186,40.760481413616745,52.208571252916876,13.14635770927209,56.40560965010107,30.64386978567198,52.186658221667415,60.451744204758384,44.032512824484755,58.40324283791718,56.57413016880553,21.467295342594483,48.33318115116828,LI,south_as
89,Ecuador,90,66.61794293330149,56.99211424818136,68.7390983070759,56.54533215779198,56.33746794647793,52.89241525076821,70.83625386559916,42.69810422907242,22.989010010635287,39.94599315681318,62.29940559639087,52.868759654684936,54.4470329018892,48.26487996873182,52.576596060024855,59.2987471749968,34.31559698490145,53.144463681986174,UMI,lat_cab
90,Mauritius,91,66.3391218456663,63.02516092742445,74.83503095466811,62.8034200422884,47.054941133948745,64.79871287684337,74.16421611333138,44.29372208640998,25.50294694018559,41.897388013227065,69.12377808158531,48.39800088378686,51.92729987991329,47.74442083679928,32.264289692594154,74.76673281386489,19.972369187921213,55.11263151129046,UMI,east_af
91,Japan,92,66.0,81.42725890720358,85.98068618246492,75.51233673876645,40.68315281554065,67.30033260329124,69.34595978891302,61.72906043527609,86.00339067963614,77.93797043170503,78.62753915774836,70.71167553917458,46.64155924703479,47.612383755689294,64.45865144518872,87.8609159162013,39.33005416039461,70.5187801269593,HI,east_as
92,Tunisia,93,65.45519327423771,57.4078455748095,70.46404169763133,57.334762453870205,45.309849657701704,63.50920750060215,69.00559505030957,31.574966417116368,24.962881891292206,50.49391980387188,62.0838610114879,57.986914451225545,54.39253706693232,55.02790348718166,64.16653484537555,67.29555003314165,29.327819663536356,54.604635977237024,LMI,north_af
93,Bolivia,94,64.63818516878776,64.20129667929528,60.480676249277444,51.11850864279196,67.47876228702859,42.12770243370128,62.49596242645163,50.96667466394954,16.707663097543243,31.51619979107765,64.99796001185727,56.33519890064118,60.01019872766774,38.91021218782107,68.12109644818794,55.978756502486384,36.54276928205674,51.95480287557684,LMI,lat_cab
94,India,95,63.0346016081636,48.465750749334,59.67491055884823,49.859079093401384,34.38717685685528,41.35070953001475,52.1563007539565,46.218013141634266,21.973099168532322,57.989971710264,31.672658264243864,55.15238550633352,76.43889846344004,44.472523954556564,50.73348025484242,69.47624620002482,18.23937396720137,48.21290995970668,LMI,south_as
95,Nicaragua,96,62.74318759519829,55.3980767047724,69.63965544349657,52.21341106719772,57.49506062598298,46.71419626544849,52.08324278836001,44.09264600714922,12.327994317832752,46.28649594684401,65.37160230405213,53.600260158018926,59.682125810602,42.024114001995656,69.73964520569919,56.24141157638537,24.704649788703236,51.13678981837148,LMI,lat_cab
96,United States,97,62.7,79.00899122860208,84.34626136532303,71.21342693151799,48.347775386561445,66.69918937258736,71.32194857411564,59.03462150950995,71.22692861193752,63.26676503515663,94.65537444235527,61.15857332749524,34.41093583686536,49.98715340701297,58.71904110528154,71.44489866273189,48.5683674687902,66.99569916356387,HI,north_am
97,Guatemala,98,62.3193863518851,48.110752242104276,62.864415285837794,48.22670693759295,47.94734463515737,49.012054830691945,49.39182839597322,49.752364433185384,17.578057883360096,34.33599252738816,64.65469631350956,50.522369995279526,58.61098310965961,52.35829027865054,53.11734411739823,58.13948666171887,14.28036895961291,48.7001311973371,LMI,lat_cab
98,Georgia,99,61.68360354929203,58.081082256676986,74.43889730498566,59.12114407009856,54.413234968342884,61.971626235205434,64.21859000483546,47.310847580840395,22.81124746749855,45.48546974091395,62.64292751049617,50.13119468725699,53.61399249136093,61.38448200734878,59.22110942377592,72.7935749592167,27.272150688848768,56.25527662737394,LMI,west_as
99,Indonesia,100,61.653655081297,58.52073258113722,61.575665260359806,52.036968970158995,48.40404216708695,44.41770492272898,58.33126264955415,44.39927325765296,20.35921071673111,48.65012871375978,41.253385773470335,50.048913905385724,55.68212346719872,48.33007595616317,51.650092418318785,69.73204931429143,13.852135550137918,49.558900356532725,LMI,southeast_as
100,Myanmar,101,60.88895555063633,63.103353987022814,54.34203393161178,46.99241866219358,55.72958951800972,46.93666018079828,37.30208844489315,50.31069108892874,7.483976935780928,56.21113712067728,28.780740906850586,51.448712729004946,72.19154385041284,36.43207075487339,61.51726952286696,57.25939348713668,11.427715056790072,46.39901666421064,LMI,southeast_as
101,Chile,102,59.4,70.70013806354764,75.10802678505883,58.72416101355782,50.66915017552904,66.08044671779363,76.1544822182594,47.812084093145785,32.16560082324532,23.096040035237753,64.55274754901029,76.83185288153403,48.365946768256585,48.63283563460012,54.45225832126175,73.67590139390965,27.70622128099816,57.74372694539048,HI,lat_cab
102,Sudan,103,58.94697670645877,40.4029796136941,51.31533066747141,44.70550617777738,62.96606811485616,11.042475346011543,30.209799324095727,38.248403772396436,14.808172884835091,56.41921863094691,38.29034803851224,48.90559150193419,76.73789885303867,45.82684948000837,66.68879066086208,59.028148355716596,17.19622127379431,44.28731513080593,LMI,north_af
