,Country,rank,sdg1_score,sdg2_score,sdg3_score,sdg4_score,sdg5_score,sdg6_score,sdg7_score,sdg8_score,sdg9_score,sdg10_score,sdg11_score,sdg12_score,sdg13_score,sdg14_score,sdg15_score,sdg16_score,sdg17_score,total_score,economy,region
41,Vietnam,42,78.15355299059827,61.43411985542988,73.39541482782076,53.7794880503074,55.12570725010644,52.82530568646906,68.96381329594425,51.66474290599657,30.585230360968232,71.69683241005221,79.45020530689627,74.11479791413251,69.6298864888309,50.411780261727415,60.003043713468934,67.17904517481107,44.100876212557125,60.524989751735205,LMI,southeast_as
42,Morocco,43,78.0932533145681,60.072391986496015,73.65487782712086,50.63524576746617,39.10804513601581,56.39785502948724,75.44820482226791,45.807966709672336,33.25002742744426,66.82577540447983,72.39898344814091,72.10030431590623,69.74279290182152,53.09496826761915,79.6338438479194,73.00104416898142,47.216278900943834,60.79969613048643,LMI,north_af
44,Bosnia and Herzegovina,45,77.97013497228022,64.35497720712385,77.09758993953673,51.693358812435264,54.32488047463402,61.184810355313786,69.30087001912368,41.88329056640855,27.02720012408962,73.7035799918098,69.62178020836716,71.463220593201,68.14341419672948,39.284827537819176,67.01312636465877,75.08216694094516,45.95060223902093,60.76803435650749,UMI,sou_eu
46,Barbados,47,77.33218556250368,56.837585901964275,78.42837416458553,53.229454981823245,52.85699323888024,66.1870532995308,79.54920409986707,49.78292105334118,28.0502027049976,68.9064953975451,77.83157852252116,54.48319108192447,68.99147386748805,44.167780275526205,60.07208639429285,76.3080206526711,38.70527901417753,60.51867223924132,HI,lat_cab
47,China,48,77.11091094137528,68.68423580105335,78.47323640869881,57.55001085246532,44.673995513962105,57.044485405608256,65.87309658727864,59.51303518029043,46.767674932527726,60.545646085388036,78.46936819567404,71.65649650137301,67.48388280764281,41.90828843126289,68.09635455516056,72.358268708976,37.43376474897731,62.9805545806487,UMI,east_as
49,Azerbaijan,50,76.85806451612903,61.39758584939651,73.23985615310305,48.92999939255878,60.15006398575486,55.481788544838345,76.73581557917619,46.79501748875805,30.402682347753018,62.22324285664066,80.24074697884099,71.56986268232124,67.02184463770877,46.825180962327764,69.80666787665177,72.45129389745074,42.8479561323803,60.69064713835707,UMI,west_as
50,Lebanon,51,76.82901118481523,53.22571960369863,78.16547111012068,44.40814169066371,39.06115237748641,60.18632144507127,76.00559545436869,45.452672480704145,32.930824044698156,62.57331170231176,68.03101776644058,65.97241542025621,68.21774677928885,48.39398376924251,62.80913896887362,70.6587037999897,40.46841725210071,58.43393745188754,UMI,west_as
51,Montenegro,52,76.8191861743178,54.64441291444181,77.2995866389973,50.12600807425154,54.69043962946366,59.89708072321538,70.77658388789379,49.32278655288837,29.686628502583943,60.655300872519774,69.95777667692848,64.00004858613849,66.95300906530981,37.254538119336814,52.96155912974001,74.1981694450366,43.4907058496107,58.839220115486555,UMI,sou_eu
52,Uruguay,53,76.81222855255942,61.32177931552722,79.14685757329653,48.19149754967981,47.17184244344872,57.961976341665384,78.25593582904585,51.33075498561579,31.728682561231505,56.954471922564814,82.15724755216424,64.8867486709907,68.1418290004472,47.39882616091358,58.355967690494786,75.19336230302096,46.509439944422766,60.78664689750641,HI,lat_cab
53,Moldova,54,76.69968376014504,62.48274080140656,72.78761437483284,47.11500309890431,55.041830364862186,55.7601260063416,75.90420413837772,51.40966295031784,26.763036420642486,69.2704715621518,77.99044637866372,72.49267358841857,69.08264928244273,61.043840936067106,65.93521663653382,68.7751394101522,52.09891623976127,60.99519481712927,LMI,east_eu
